task,batch_id,slot_id,weight
finqa,0,27,16797
finqa,0,136,11930
finqa,0,2247,11903
finqa,0,662,9819
finqa,0,1038,9182
finqa,0,2528,8974
finqa,0,37,8954
finqa,0,4085,8806
finqa,0,383,8462
finqa,0,2659,8391
finqa,0,2352,8186
finqa,0,2278,8023
finqa,0,3616,6884
finqa,0,1879,6537
finqa,0,3693,6390
finqa,0,843,6363
finqa,0,432,6011
finqa,0,3720,5938
finqa,0,2181,5867
finqa,0,3642,5811
finqa,0,695,5522
finqa,0,1893,5411
finqa,0,3859,5313
finqa,0,1482,5204
finqa,0,3330,4907
finqa,0,402,4854
finqa,0,1387,4737
finqa,0,760,4448
finqa,0,986,4398
finqa,0,1712,4373
finqa,0,2996,4221
finqa,0,3953,4200
finqa,0,125,4138
finqa,0,1274,4125
finqa,0,3890,4090
finqa,0,509,4089
finqa,0,882,4001
finqa,0,3754,3978
finqa,0,1146,3956
finqa,0,1378,3948
finqa,0,3416,3926
finqa,0,3515,3688
finqa,0,3606,3651
finqa,0,3150,3601
finqa,0,1622,3600
finqa,0,1116,3587
finqa,0,2891,3509
finqa,0,3402,3473
finqa,0,4039,3432
finqa,0,1648,3432
finqa,0,67,3396
finqa,0,3814,3392
finqa,0,3789,3326
finqa,0,710,3326
finqa,0,3709,3298
finqa,0,3007,3293
finqa,0,1815,3240
finqa,0,1747,3190
finqa,0,210,3188
finqa,0,1295,3152
finqa,0,1145,3127
finqa,0,98,3126
finqa,0,2402,3113
finqa,0,481,3100
finqa,0,1264,3084
finqa,0,857,3059
finqa,0,2957,3032
finqa,0,2512,2990
finqa,0,2848,2983
finqa,0,3179,2956
finqa,0,343,2893
finqa,0,2460,2874
finqa,0,1058,2840
finqa,0,3962,2826
finqa,0,3436,2708
finqa,0,3081,2673
finqa,0,2422,2666
finqa,0,1708,2619
finqa,0,2922,2617
finqa,0,2972,2574
finqa,0,1007,2568
finqa,0,1740,2559
finqa,0,2573,2534
finqa,0,2591,2531
finqa,0,525,2512
finqa,0,3593,2507
finqa,0,3499,2507
finqa,0,3042,2478
finqa,0,3171,2459
finqa,0,2526,2411
finqa,0,3364,2384
finqa,0,1913,2339
finqa,0,562,2321
finqa,0,1912,2306
finqa,0,3798,2276
finqa,0,95,2222
finqa,0,46,2200
finqa,0,4006,2146
finqa,0,3211,2136
finqa,0,59,2123
finqa,0,3091,2118
finqa,0,1822,2114
finqa,0,2339,2094
finqa,0,2415,2038
finqa,0,3762,2030
finqa,0,3368,2019
finqa,0,1366,1984
finqa,0,3308,1983
finqa,0,1018,1959
finqa,0,3611,1957
finqa,0,3285,1936
finqa,0,1906,1931
finqa,0,2274,1891
finqa,0,1564,1887
finqa,0,2052,1862
finqa,0,263,1852
finqa,0,537,1819
finqa,0,4080,1797
finqa,0,2336,1789
finqa,0,167,1785
finqa,0,3344,1782
finqa,0,3796,1773
finqa,0,1714,1766
finqa,0,758,1760
finqa,0,3770,1746
finqa,0,2149,1678
finqa,0,4067,1672
finqa,0,3565,1619
finqa,0,341,1619
finqa,0,1897,1616
finqa,0,872,1608
finqa,0,2616,1595
finqa,0,2061,1595
finqa,0,753,1576
finqa,0,3041,1567
finqa,0,1208,1549
finqa,0,3852,1543
finqa,0,29,1538
finqa,0,3005,1536
finqa,0,1522,1534
finqa,0,2672,1534
finqa,0,2959,1511
finqa,0,1574,1507
finqa,0,1042,1487
finqa,0,1771,1485
finqa,0,60,1484
finqa,0,1360,1484
finqa,0,908,1472
finqa,0,2472,1454
finqa,0,4026,1453
finqa,0,3492,1440
finqa,0,1063,1429
finqa,0,2697,1417
finqa,0,4002,1410
finqa,0,2131,1407
finqa,0,3260,1391
finqa,0,3032,1388
finqa,0,3954,1387
finqa,0,169,1382
finqa,0,1188,1382
finqa,0,1702,1368
finqa,0,3059,1358
finqa,0,3876,1356
finqa,0,2873,1355
finqa,0,101,1350
finqa,0,1995,1344
finqa,0,2360,1339
finqa,0,839,1336
finqa,0,2816,1334
finqa,0,1044,1331
finqa,0,97,1331
finqa,0,149,1329
finqa,0,925,1329
finqa,0,1060,1326
finqa,0,3575,1325
finqa,0,1527,1311
finqa,0,3033,1303
finqa,0,1694,1302
finqa,0,235,1299
finqa,0,476,1297
finqa,0,1478,1295
finqa,0,3992,1289
finqa,0,1006,1283
finqa,0,2273,1274
finqa,0,958,1267
finqa,0,4087,1261
finqa,0,3198,1260
finqa,0,3621,1255
finqa,0,53,1239
finqa,0,202,1233
finqa,0,638,1209
finqa,0,3945,1207
finqa,0,1111,1206
finqa,0,3615,1206
finqa,0,678,1188
finqa,0,3826,1188
finqa,0,1162,1187
finqa,0,2214,1182
