task_from,slot_old,task_to,slot_new,weight
gsm8k,760,gsm8k,760,48116
humaneval,760,humaneval,8192,44916
finqa,760,finqa,8193,4448
humaneval,2957,humaneval,2957,44044
gsm8k,2957,gsm8k,8194,43844
finqa,2957,finqa,8195,3032
humaneval,1913,humaneval,1913,44125
gsm8k,1913,gsm8k,8196,43714
finqa,1913,finqa,8197,2339
humaneval,46,humaneval,46,44044
gsm8k,46,gsm8k,8198,43714
finqa,46,finqa,8199,2200
humaneval,3042,humaneval,3042,44044
gsm8k,3042,gsm8k,8200,43648
finqa,3042,finqa,8201,2478
humaneval,3091,humaneval,3091,44044
gsm8k,3091,gsm8k,8202,43587
finqa,3091,finqa,8203,2118
humaneval,4006,humaneval,4006,44044
gsm8k,4006,gsm8k,8204,43581
finqa,4006,finqa,8205,2146
humaneval,3211,humaneval,3211,44071
gsm8k,3211,gsm8k,8206,43580
finqa,3211,finqa,8207,2136
finqa,136,finqa,136,11930
gsm8k,136,gsm8k,8208,10606
humaneval,136,humaneval,8209,4526
finqa,2528,finqa,2528,8974
gsm8k,2528,gsm8k,8210,10017
humaneval,2528,humaneval,8211,464
finqa,27,finqa,27,16797
gsm8k,27,gsm8k,8212,9892
humaneval,27,humaneval,8213,7051
finqa,1038,finqa,1038,9182
gsm8k,1038,gsm8k,8214,9647
humaneval,1038,humaneval,8215,2339
finqa,2352,finqa,2352,8186
gsm8k,2352,gsm8k,8216,8973
humaneval,2352,humaneval,8217,6425
finqa,662,finqa,662,9819
gsm8k,662,gsm8k,8218,8566
humaneval,662,humaneval,8219,655
finqa,383,finqa,383,8462
gsm8k,383,gsm8k,8220,8474
humaneval,383,humaneval,8221,757
finqa,37,finqa,37,8954
gsm8k,37,gsm8k,8222,8458
humaneval,37,humaneval,8223,444
finqa,2247,finqa,2247,11903
gsm8k,2247,gsm8k,8224,8387
humaneval,2247,humaneval,8225,19048
finqa,2659,finqa,2659,8391
gsm8k,2659,gsm8k,8226,8367
humaneval,2659,humaneval,8227,444
finqa,2848,finqa,2848,2983
gsm8k,2848,gsm8k,8228,6556
humaneval,2848,humaneval,8229,3230
finqa,210,finqa,210,3188
gsm8k,210,gsm8k,8230,5944
humaneval,210,humaneval,8231,556
humaneval,3330,humaneval,3330,22185
gsm8k,3330,gsm8k,8232,5733
finqa,3330,finqa,8233,4907
finqa,3693,finqa,3693,6390
gsm8k,3693,gsm8k,8234,5697
humaneval,3693,humaneval,8235,6040
gsm8k,2282,gsm8k,2282,5254
humaneval,2282,humaneval,8236,2952
finqa,3616,finqa,3616,6884
gsm8k,3616,gsm8k,8237,5252
humaneval,3616,humaneval,8238,3221
gsm8k,2429,gsm8k,2429,5247
humaneval,2429,humaneval,8239,1325
gsm8k,2435,gsm8k,2435,5246
humaneval,2435,humaneval,8240,1731
humaneval,3150,humaneval,3150,16345
gsm8k,3150,gsm8k,8241,5128
finqa,3150,finqa,8242,3601
finqa,695,finqa,695,5522
gsm8k,695,gsm8k,8243,5106
humaneval,695,humaneval,8244,3963
gsm8k,724,gsm8k,724,4769
humaneval,724,humaneval,8245,1377
finqa,724,finqa,8246,963
finqa,4085,finqa,4085,8806
gsm8k,4085,gsm8k,8247,4717
humaneval,4085,humaneval,8248,3244
finqa,2891,finqa,2891,3509
gsm8k,2891,gsm8k,8249,4605
humaneval,2891,humaneval,8250,2093
humaneval,95,humaneval,95,6223
gsm8k,95,gsm8k,8251,4549
finqa,95,finqa,8252,2222
finqa,402,finqa,402,4854
gsm8k,402,gsm8k,8253,4482
humaneval,402,humaneval,8254,1973
gsm8k,1935,gsm8k,1935,4353
humaneval,1935,humaneval,8255,1356
finqa,1935,finqa,8256,850
finqa,882,finqa,882,4001
gsm8k,882,gsm8k,8257,4231
humaneval,882,humaneval,8258,1608
finqa,1482,finqa,1482,5204
gsm8k,1482,gsm8k,8259,4147
humaneval,1482,humaneval,8260,1608
finqa,432,finqa,432,6011
gsm8k,432,gsm8k,8261,4037
finqa,3642,finqa,3642,5811
gsm8k,3642,gsm8k,8262,3937
humaneval,3642,humaneval,8263,3200
gsm8k,1995,gsm8k,1995,3770
finqa,1995,finqa,8264,1344
gsm8k,2567,gsm8k,2567,3599
humaneval,1387,humaneval,1387,12576
gsm8k,1387,gsm8k,8265,3576
finqa,1387,finqa,8266,4737
finqa,1912,finqa,1912,2306
gsm8k,1912,gsm8k,8267,3496
finqa,1712,finqa,1712,4373
gsm8k,1712,gsm8k,8268,3435
humaneval,1712,humaneval,8269,307
finqa,843,finqa,843,6363
gsm8k,843,gsm8k,8270,3409
humaneval,843,humaneval,8271,3639
finqa,908,finqa,908,1472
gsm8k,908,gsm8k,8272,3398
humaneval,908,humaneval,8273,1996
humaneval,1146,humaneval,1146,11454
gsm8k,1146,gsm8k,8274,3366
finqa,1146,finqa,8275,3956
gsm8k,922,gsm8k,922,3340
gsm8k,3370,gsm8k,3370,3287
finqa,3370,finqa,8276,832
finqa,3364,finqa,3364,2384
gsm8k,3364,gsm8k,8277,3264
finqa,1893,finqa,1893,5411
gsm8k,1893,gsm8k,8278,3246
humaneval,1893,humaneval,8279,163
gsm8k,3434,gsm8k,3434,3223
finqa,1116,finqa,1116,3587
gsm8k,1116,gsm8k,8280,3185
humaneval,1116,humaneval,8281,1924
finqa,2415,finqa,2415,2038
gsm8k,2415,gsm8k,8282,3129
humaneval,2415,humaneval,8283,1532
gsm8k,245,gsm8k,245,3089
gsm8k,3235,gsm8k,3235,3077
finqa,3720,finqa,3720,5938
gsm8k,3720,gsm8k,8284,3049
humaneval,3720,humaneval,8285,3204
finqa,167,finqa,167,1785
gsm8k,167,gsm8k,8286,2978
humaneval,167,humaneval,8287,1600
finqa,1879,finqa,1879,6537
gsm8k,1879,gsm8k,8288,2972
humaneval,1879,humaneval,8289,5198
gsm8k,1217,gsm8k,1217,2972
humaneval,1217,humaneval,8290,1600
finqa,2472,finqa,2472,1454
gsm8k,2472,gsm8k,8291,2961
humaneval,2472,humaneval,8292,862
gsm8k,3338,gsm8k,3338,2946
humaneval,3338,humaneval,8293,2135
finqa,2181,finqa,2181,5867
gsm8k,2181,gsm8k,8294,2862
humaneval,2181,humaneval,8295,3230
finqa,1771,finqa,1771,1485
gsm8k,1771,gsm8k,8296,2799
finqa,1822,finqa,1822,2114
gsm8k,1822,gsm8k,8297,2727
humaneval,1822,humaneval,8298,762
gsm8k,2500,gsm8k,2500,2705
finqa,3611,finqa,3611,1957
gsm8k,3611,gsm8k,8299,2700
humaneval,3611,humaneval,8300,583
gsm8k,1757,gsm8k,1757,2698
finqa,1757,finqa,8301,502
gsm8k,3306,gsm8k,3306,2684
finqa,3436,finqa,3436,2708
gsm8k,3436,gsm8k,8302,2679
humaneval,3436,humaneval,8303,5533
finqa,1747,finqa,1747,3190
gsm8k,1747,gsm8k,8304,2676
humaneval,3171,humaneval,3171,15821
gsm8k,3171,gsm8k,8305,2651
finqa,3171,finqa,8306,2459
gsm8k,3231,gsm8k,3231,2638
gsm8k,3555,gsm8k,3555,2602
finqa,3754,finqa,3754,3978
gsm8k,3754,gsm8k,8307,2585
gsm8k,1353,gsm8k,1353,2578
gsm8k,54,gsm8k,54,2570
humaneval,54,humaneval,8308,250
finqa,54,finqa,8309,829
gsm8k,1047,gsm8k,1047,2565
finqa,3859,finqa,3859,5313
gsm8k,3859,gsm8k,8310,2562
humaneval,3859,humaneval,8311,2345
gsm8k,2810,gsm8k,2810,2559
humaneval,2810,humaneval,8312,2031
gsm8k,2317,gsm8k,2317,2551
finqa,2317,finqa,8313,1007
gsm8k,3906,gsm8k,3906,2525
humaneval,3906,humaneval,8314,430
humaneval,2336,humaneval,2336,10988
gsm8k,2336,gsm8k,8315,2505
finqa,2336,finqa,8316,1789
finqa,2445,finqa,2445,1101
gsm8k,2445,gsm8k,8317,2499
finqa,1058,finqa,1058,2840
gsm8k,1058,gsm8k,8318,2462
humaneval,1058,humaneval,8319,1627
humaneval,1007,humaneval,1007,10987
gsm8k,1007,gsm8k,8320,2445
finqa,1007,finqa,8321,2568
finqa,1366,finqa,1366,1984
gsm8k,1366,gsm8k,8322,2443
humaneval,1366,humaneval,8323,520
gsm8k,1721,gsm8k,1721,2430
finqa,1721,finqa,8324,974
finqa,3762,finqa,3762,2030
gsm8k,3762,gsm8k,8325,2417
gsm8k,1488,gsm8k,1488,2365
humaneval,1488,humaneval,8326,1306
finqa,1274,finqa,1274,4125
gsm8k,1274,gsm8k,8327,2360
finqa,1063,finqa,1063,1429
gsm8k,1063,gsm8k,8328,2349
finqa,509,finqa,509,4089
gsm8k,509,gsm8k,8329,2341
gsm8k,2430,gsm8k,2430,2282
humaneval,2430,humaneval,8330,430
finqa,2430,finqa,8331,845
humaneval,1218,humaneval,1218,2449
gsm8k,1218,gsm8k,8332,2279
gsm8k,3269,gsm8k,3269,2276
finqa,3269,finqa,8333,850
finqa,3005,finqa,3005,1536
gsm8k,3005,gsm8k,8334,2272
gsm8k,6,gsm8k,6,2272
finqa,6,finqa,8335,913
finqa,3515,finqa,3515,3688
gsm8k,3515,gsm8k,8336,2251
humaneval,1060,humaneval,1060,3495
gsm8k,1060,gsm8k,8337,2214
finqa,1060,finqa,8338,1326
finqa,3402,finqa,3402,3473
gsm8k,3402,gsm8k,8339,2197
finqa,4080,finqa,4080,1797
gsm8k,4080,gsm8k,8340,2176
humaneval,4080,humaneval,8341,260
humaneval,3158,humaneval,3158,6433
gsm8k,3158,gsm8k,8342,2171
finqa,3158,finqa,8343,1101
finqa,678,finqa,678,1188
gsm8k,678,gsm8k,8344,2170
humaneval,678,humaneval,8345,642
finqa,2274,finqa,2274,1891
gsm8k,2274,gsm8k,8346,2092
humaneval,2274,humaneval,8347,1992
finqa,1006,finqa,1006,1283
gsm8k,1006,gsm8k,8348,2090
humaneval,1006,humaneval,8349,478
finqa,2214,finqa,2214,1182
gsm8k,2214,gsm8k,8350,2081
finqa,1714,finqa,1714,1766
gsm8k,1714,gsm8k,8351,2045
humaneval,1714,humaneval,8352,272
finqa,839,finqa,839,1336
gsm8k,839,gsm8k,8353,1985
finqa,4026,finqa,4026,1453
gsm8k,4026,gsm8k,8354,1975
humaneval,4026,humaneval,8355,194
finqa,149,finqa,149,1329
gsm8k,149,gsm8k,8356,1972
humaneval,149,humaneval,8357,594
finqa,3285,finqa,3285,1936
gsm8k,3285,gsm8k,8358,1966
humaneval,3285,humaneval,8359,202
finqa,2616,finqa,2616,1595
gsm8k,2616,gsm8k,8360,1965
gsm8k,1430,gsm8k,1430,1938
humaneval,1430,humaneval,8361,486
finqa,1111,finqa,1111,1206
gsm8k,1111,gsm8k,8362,1934
gsm8k,508,gsm8k,508,1926
humaneval,508,humaneval,8363,583
finqa,508,finqa,8364,513
finqa,1897,finqa,1897,1616
gsm8k,1897,gsm8k,8365,1903
finqa,944,finqa,944,831
gsm8k,944,gsm8k,8366,1897
humaneval,944,humaneval,8367,591
humaneval,3742,humaneval,3742,4850
gsm8k,3742,gsm8k,8368,1873
